origin,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Réunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Botswana,Lesotho,Namibia,South Africa,Swaziland,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Democratic People's Republic of Korea,Japan,Mongolia,Republic of Korea,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Afghanistan,Bangladesh,Bhutan,India,Iran (Islamic Republic of),Maldives,Nepal,Pakistan,Sri Lanka,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,Belarus,Bulgaria,Czech Republic,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom of Great Britain and Northern Ireland,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,The former Yugoslav Republic of Macedonia,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America,Australia,New Zealand,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Guam,Kiribati,Marshall Islands,Micronesia (Federated States of),Nauru,Northern Mariana Islands,Palau,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   199,,,,   4,,,,,,,,,,,,,,,,,,,,  2 202,,,   87,  10 282,,,,,,,,,   6,,,,,,,,,,,,,,,,,   8,,,   649,,,,,,,,,   13,,,,   7,   17,   72,   143,,,   784,   5,,,   245,,,   88,   20,   24,,   3,,   277,  3 560,   567,,,,   53,,   209,,  12 843,   8,,   59,,   5,   4,  18 828,,   930,   617,  7 906,  4 288,,   96,,  1 040,  4 829,,,   141,   43,,,,   5,   191,,,  1 991,,,   351,,,,   703,,,,,,,,,  2 225,   246,   210,   291,  2 981,   221,  1 781,  16 366,  7 138,  5 716,  7 052,  2 896,  2 567,,   309,,,,,   555,  29 635,,  11 010,,,  144 199,  3 795,,,,,,,,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,   61,,,,,,,,,,,,,,,,,   677,  1 929,,,,,,,   364,  1 485,,,,,,,   20,,,,,,,,,,,,,,,,,  28 155,  79 010,  1 892,  1 116,  49 106,   31,   482,  7 837,   71,  3 472,,  104 730,,,  1 175,  1 266,   591,   12,,,   9,,,   303,,,,,,  7 934,  1 793,,,,  2 245,  49 207,  1 026,  5 930,  37 462,  239 551,,,   141,  60 107,,,   10,   8,0,   67,,,   190,0,,,  1 972,,   14,   299,   135,   774,,   1,,  3 552,  4 290,  21 328,,   146,,0,,  11 217,,  65 197,   94,,   74,,   5,   3,  8 682,,  7 633,  3 007,  7 979,  22 895,0,   183,,  3 077,  7 161,,,   217,   64,,,,   34,,,,   115,,,,,,,   274,,,,,   187,,,,   72,   31,   15,,   186,,   223,   128,   14,,   92,   56,   42,,,,,   230,,,   143,   92,  118 304,   2,,  912 674,  90 580,  4 379,,,  2 005,   147,,  24 527,,   120,   170,   100,  12 836,  1 569,   379,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   407,  1 163,,,,,,,   249,  1 622,,,,,,,   34,,,,,,,,,,,,  23 820,  6 934,   58,,,,,,,   359,   5,,,,,,,,   12,,,,,,,,,,,,,,,,,   176,  3 794,,  95 566,   85,,,,,,,,   826,,,   235,   423,  6 082,  3 647,,   794,   538,  31 333,  1 207,  3 718,,  8 085,   236,   23,  1 027,   265,  3 168,,  30 550,  4 372,  4 367,  31 527,  71 908,,,,   655,,  29 946,,  24 516,   20,,   104,   18,   81,   62,  4 206,   101,  33 851,  4 588,  135 061,  248 610,   11,   722,,  9 026,  9 473,,,,   12,,,,,   211,,,   475,,,,,,,   36,,,,,,,,,   329,,,,  1 693,,   67,  29 520,   193,  13 225,   465,   495,   104,,,,   696,   142,,  4 067,   803,   25,  177 219,   9,,  388 328,  74 954,   572,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,  6 499,,,,,,,,,,  5 298,,,,   442,,,,   206,,   44,,,,,,   137,,   641,  19 125,,,,  1 132,,,,   237,   528,,,,,,,,,,,,,,,,   73,  3 489,,   319,,,,,,,,,   25,,   53,   258,,,,,   454,,,,,0,,,,   16,,,,,,,,,,,,   54,,,,   3,   10,   21,   85,   403,   48,   129,   1,,  3 380,   441,,,   92,   45,   122,,   1,   3,   600,  1 975,  19 323,,  3 957,,0,,   731,,  6 791,   3,,,,   4,   3,  35 909,,   949,  14 810,  781 382,  92 782,   134,  30 614,,  7 814,  89 576,,,   177,   1,,  1 328,,,,,,   160,,   186,,,,,   68,,,,,,,,,   57,   20,   14,,   163,,   177,  13 551,   37,  274 924,   127,   133,   122,,,,,   91,,  1 216,  71 582,  1 530,  154 655,,,  390 588,  19 115,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   8,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,0,,,,,0,,,,,,,,   18,,,,,,,,,,,   3,,   290,,,,,,,,   30,,,,   23,   32,   15,   272,,   6,  8 767,,,  1 546,,,,,,   7,,0,,,  3 974,,   268,   109,   69,   98,  1 287,   54,   253,   210,   33,,   121,   432,   167,,,,,   97,,,   912,,   182,,, 1 180 383,   46,,,,,,,   194,,,,,   923,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   287,   819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   27,,,,,,,,,,,,,   3,,,   8,   3,,,,   102,   49,,   27,,,  9 870,,   7,   61,,,   2,   7,   30,   9,,,   115,,,,   5,,,   3,   1,   7,,0,,0,   18,   148,,,,,,   6,,0,,,,,,,   5,,   15,,   151,,,,,   15,   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,   6,,   29,,,,,,,,,,,,   259,,,,   97,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,,,,,,,,,,,,,,,,,   61,,,,,,,,,,,   60,,,   282,   806,,,,,,,   52,  1 625,,,,,,,,   138,,,,   63,,,,,   15,,  41 045,  1 459,,,,  148 141,  3 238,,  5 873,  688 141,   276,,   138,   26,  10 866,,  1 194,,   593,,   469,,   25,,,   15,,,,,,   7,,,,   2,   798,,,   96,,,,,,,,   124,,,   22,   33,   19,  1 076,   53,,,  2 014,0,,,  6 527,,   63,   52,   27,   37,,   9,,  4 821,  7 205,  1 717,,,,0,,   15,,   630,,,   21,,   2,   1,  1 257,,,   45,  18 230,  20 119,,   49,,  4 145,  1 430,,,,,,,,,,,,   548,,,,,,,   72,,,,,,,,,   148,   208,   290,   53,   128,   20,   96,  10 229,   555,,   663,   143,   270,,,,  5 162,   475,,,   245,,  31 722,,,  568 397,  23 735,   783,,,   87,   38,,  3 582,,,   65,,  2 422,   11,   201,,,,,,,,
Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   48,,,,,,,,,,,,,,,,,,,,,,,,,,,,  13 149,  8 066,  2 071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   386,,   234,  4 413,,  28 570,   2,,,,,,,,   564,,,  8 826,   582,   202,   56,   467,,  52 248,  292 807,   8,  180 029,,   59,  1 543,,0,0,   113,,  1 629,  1 763,   3,   58,   61,,,,0,,  9 177,,   84,   6,,   887,,   28,   17,   17,,   980,   173,   861,  1 218,,,,   4,   155,,,,,,,,,,,,   6,,,,,,,,,,,,,,,,   3,,,,,,,  1 003,0,,   3,,,,,,,,,,,,  2 284,,,  10 932,   15,,,,,,,,,,,,,,,,,,,,,,
Réunion,,   957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,,,,,,,,   1,,,,,,   5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   244,,,   253,,,,,,,,,,,,,,,,,,,,,0,,,,   365,,,,,,,,   63,,,,   51,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   226,   645,,,,,,,   45,   773,,,,,,,,,,,,,,,,,,,,   713,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,,  1 345,   390,,  128 886,   310,,,,,,,,  5 018,,,   10,   143,  2 945,  194 128,  4 748,  5 142,,  3 936,  1 115,,,   877,,   1,   157,   1,   430,,  3 562,   35,   286,  9 253,  3 873,,,   624,0,,  5 983,,  40 066,   76,,   818,   43,   443,   63,  2 145,   24,  24 968,  2 261,  31 928,  176 920,   2,   106,,  1 665,  6 255,,,,0,,,,,   153,,,   30,,,,,,,,,,,,,,,,   62,,,,   278,,   38,  3 713,   61,  6 604,   435,   458,   101,,,,,   130,,   811,   774,   14,  32 422,0,,  91 106,  12 241,   271,,,,,,,,,,,,,,,,,,,,,
Russian Federation,,,,,,,,,   34,,,,,   79,,,   305,,,,,,   163,,   790,,,,,  6 287,  9 311,  26 586,,,,,,,   672,  1 193,,,,   55,,,   47,   478,,,   384,   56,,,,,   75,, 2 474 111,  349 174,  363 565,  118 024, 1 267 201,  1 080,   59,,   43,   440,  2 755,   37,,   14,,,,,   23,,,,,,,,  3 445,,,,,   1,  62 218,  39 234,,  3 235,  191 090,   210,  175 938,   581,,   265,,,,,,  11 430,,,  791 522,  6 899,  3 282,  38 081,  76 953,  227 107,  7 224,,   622, 5 018 098,,  1 595,  283 457,   2,  10 252,   37,   229,,  473 207,  158 448,   61,  5 125,  4 247,,,   271,0,,  28 345,,  7 359,   129,,   680,   7,   361,   171,  3 120,   217,  17 059,   530,  21 377,  77 318,   6,   377,,  2 561,  5 876,,,,   4,,,,,  4 491,,,   287,,,,,,,,,,,,,,,,   519,   29,,   19,  1 171,   387,   408,  5 016,   106,  11 249,   449,   493,   498,,,,,   449,,,   597,,  95 333,,,  190 654,  8 365,  1 072,,,   41,,,,,,,,,,,,,,,,,,
Rwanda,  221 943,,,   991,   71,  3 874,,  2 249,,,,,,,,,  219 499,  68 609,0,,   46,,,,0,  22 972,,   65,,,   59,,,,,,,,   530,  2 094,   2,,,,,,   268,,,,,,,,,,,   880,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,   3,   1,,,,   177,,,,   11,,,   2,0,   15,,   1,,   6,   88,   331,,,,,,   174,,   126,,,,,,,   23,,   117,   716,  3 150,   324,,   24,,   304,   619,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,   2,,   1,,,,,,,,,,,,   307,,,,   44,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   1,,,,,,   480,,,,,,   26,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,,,   94,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,   31,,,,,,,,,   19,,,,   31,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   12,,,,,,,,,,,0,,0,,,,,,   910,,,,,,   6,,   2,,,,,,,,,   1,,   5,,,,,   21,,   426,   469,,   13,0,  2 083,  1 555,,,,   23,   76,   9,,,   75,,   176,,,   19,   35,0,,,  5 828,,   1,,,,,,,,   1,,   13,,,,,,,,,,,,  1 464,,,  7 447,   17,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,   3,,,0,,   1,,,,,   22,  1 153,,,,,,,,   1,,,,,,,   3,,   8,,   155,,,,,   20,   54,,   392,,   25,  3 317,   1,   274,   3,,,   102,,   92,   273,,   257,   989,,,   46,,   208,0,  1 306,,  2 533,,   2,,,,,,,,,,   5,,,,  1 722,   286,,,,,   65,,  1 713,,,  6 959,   16,,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   38,,,,,,,,,,,,,,,,   1,,,,,,   11,,0,,   2,,,,,,,,,,,,   422,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,   8,,,   1,,   1,,,,,,   990,,,,,,   92,,0,,,,,,,,,   6,,   93,,,,,   20,,,   478,   225,   20,  3 676,   39,  1 046,   10,,,   45,,   325,,,   176,,   45,,   74,   182,,0,  11 629,,   432,,   1,,,,,,,,,,0,,,,,   103,,   16,,,   107,,  4 357,,,  12 824,   22,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,0,,,,,,,,,   6,,,   1,,   3,,,,,   13,   38,,,,,,   2,,   13,,,,,,,,,   3,,   27,,,,,   7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   63,,,  11 408,  5 709,  42 264,   271,,,,,,,,   11,,,,  14 674,   5,,   37,,   114,   170,   21,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   1,,,,,   31,,,,   1,,,0,,0,,,,,,,,,,,,   9,,  1 055,,,,,,,   9,,   1,   16,   248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   37,,,   6,,,,,,,,,,,,   10,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,  3 112,,   88,,,,   378,  2 009,,,,,,,,,,,,,,,,  2 475,,,,,,,,,,,,,,   19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,   11,,,,,,   3,,   9,,,  5 581,,,,   14,,   1,   8,   127,,,,,   57,   37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   12,,,,,,,,,,,,   19,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 068,  4 546,  12 976,,,,,,,,   604,,,,,,,,   682,,,,   273,,,,  1 177,,,,,,,,,,,,,,,,,  5 544,,,,   227,,0,,,,,,  6 058,,,,,   15,,,   61,   58,,   519,,  3 495,   380,  1 597,   215,  14 187,,  21 258,,  3 344,   465,,,   1,   4,   286,   34,,,   317,   2,,,   48,,,   17,   1,   82,,0,,   36,   656,  4 198,,,,,,   532,,   17,   11,,,,,,   157,,   263,   22,  1 246,  1 003,,,,   446,   393,,,,,,,,,,,,   24,,,,,,,,,,,,,,,,   6,,   27,,   186,,   18,   175,   12,,   25,   96,   30,,,,,   22,,,   894,,  1 732,,,  12 632,   586,   51,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,   115,,,,,,  3 468,,,  9 416,,,   384,  1 096,  1 233,,   325,   905,,,   45,  2 683,,,  1 983,   141,  23 556,  72 943,   53,  6 770,  5 053,   243,  12 899,  94 138,   732,,,,   737,   483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,   16,,,,   1,   8,   5,   34,,0,   108,,,,   35,,,   15,   3,   4,,,,   36,   180,   100,,,,,,   81,,  44 973,,,   183,,,,  3 334,,   184,   717,  73 801,  1 771,,   29,,   303,   893,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,   23,   83,,,   4,,   20,,,,,,,,,,   13,,   466,,,  2 287,   149,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   630,,,,   35,,,,,,,,,,,   16,   562,  1 181,0,  4 743,,   565,,   383,,,  5 700,,,0,   312,0,,   17,,0,0,  1 586,,,  16 974,0,,0,,  17 845,   101,,   46,,,  24 825,0,  17 950,  107 506,  5 417,  1 898,  428 334,   379,  4 602,,  14 216,0,,,,,,,,,,,,   180,,,,,,,,,,,,,,,,,,,,   5,,   27,,0,,,,,,,,,,,,   730,,0,,,  5 763,  44 312,0,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,   43,,,,,,,,,   214,,,,,,,,,,,,,   15,,,,,,   45,,   84,   28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,   2,,,,,,,,,,,,,,,,,0,,,,,,,,,   14,,,0,,   2,,,,,   36,  2 896,,,,,,   41,,   181,,,,,,,   3,,   24,   11,   429,,,,,   39,   173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,  22 486,,,,  2 610,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   41,   117,,,,,,,   242,   384,,,,   19,   620,  1 435,   119,  15 985,   87,  7 943,  1 227,,,  1 553,,  12 313,,   49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,0,,0,   1,   6,,,,,,,,   72,,,   21,   5,   38,,   2,,   143,   170,  6 161,,,,,,   436,,   91,,,   12,,,,   212,,   147,   989,   713,  1 002,,,,   634,   408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   1,,,,,,,,,,,,   216,,,  7 217,   120,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   69,   198,,,,,,,,   427,,,,,,,,,,,,,,,,,,,,,,,,,  6 619,,,  1 194,,,  1 499,   57,  4 346,,  31 269,,   133,,   809,   57,   294,,  10 556,   8,  9 307,,   42,,,   8,,,,   8,,,,,,,,,,,,   48,,,,   2,   3,   73,,,,   60,,,,   236,,,   31,   6,   42,,   2,,   268,   399,  33 320,,,,,,   65,,   40,   8,,   7,,,,   35,,   158,   145,  1 348,   725,,,,  2 193,   772,,,,,,,,,,,,,,,,,,,,,,,,,,,,   17,,,,   12,,   10,   4,   6,,   24,,,,,,,,,,   16,,  6 030,,,  12 889,  27 151,  3 085,,,   71,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  13 798,,,   8,   125,,,   296,,,,,,,,,,,,,,,,   87,,,,,,,,,,,,,,   32,,,   22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   71,,,,,,,,,   201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,,,,,,,,,,,,,,,,,,,,,,,,,   34,,,,   12,,,,,,,,   76,,,   25,   63,  70 252,   316,  2 149,,,  1 020,,,,   105,,,0,   1,   412,,   21,   16,   6,   190,  1 431,,,  4 681,0,,   699,,   223,   13,,   8,,   58,   35,   110,   38,  14 965,   619,  2 771,  16 278,   18,   69,,   14,  3 313,,,,,,,,,,,,,,,,,,,,,,,,,,,,   20,,,,   69,,   5,,0,,   29,,   17,,,,,,,,   21,,  10 286,,,,  2 697,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,   15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,,,,,,,,,,,,   35,,,,   8,   64,   96,   183,,,   138,   15,,,   56,,,0,   8,   11,,   2,,0,   536,   334,,,  2 796,  29 943,,   104,,  1 268,   6,,   8,,  1 343,,   49,   258,  12 724,   176,  3 354,  12 999,   53,   54,,   7,  3 460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   39,,,  1 783,0,,   23,   26,,,,,,   19,,,   91,,  8 990,,,  3 347,  7 227,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,   2,,,0,0,0,,,,,,   42,,,,,,   6,,   1,,,,,,,,,   8,,   4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,   34,,,,  1 052,,   646,,   324,,   83,,,,,   39,,,,,,,   5,,,,
Somalia,,,  101 216,  1 438,  616 940,  7 875,,   211,,,,,,   11,,,   392,   467,,,,,,,,,,,,   926,  1 372,  3 917,,0,,,,,   138,  3 233,   2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   51,,,,   2,,,,,,,,,,,,,,   340,   3,,   204,,   24,  2 111,,,   109,,,   200,   114,  2 578,  36 771,,   1,   1,   5,,,,   129,,,,   584,,,   54,0,   102,,0,,  1 286,  10 279,  6 078,,,,,,   44,,  11 363,   7,,,,,,   18,,   670,   989,  1 485,  5 957,,,,  1 859,  2 647,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,   17,,   4,0,,   12,,,,,,,,,,,,  19 517,,,  2 437,   361,   415,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,   97,,   197,,  1 276,   184,,  28 813,,,   83,,,,   409,  6 328,  11 426,  2 437,,   81,,,,,   4,,,   190,   543,,,,,  5 780,  2 777,  12 536,,  20 848,,,,,,,,,,,,,,   71,,   239,,,,,,,,,,,,,0,,,,,,,   186,,,,,,,,,,,,,   3,,,,  1 235,,,  8 519,   24,,,,,,,,   71,,,,   9,   38,   44,   376,,,   246,   6,,,   604,,   1,   115,   65,   621,   303,   2,,   629,   798,  66 921,,,,0,,  1 755,,   409,   45,,  6 464,,   3,   5,   740,,  1 538,   652,  2 397,  4 059,0,   45,,  6 568,  4 029,,   19,,   21,,,,   12,,,,   242,,,,,,,,,   4,,,,,,,   47,,,,   87,,   12,   278,   11,,   134,   49,   41,,,,,   82,,,   70,   33,  23 729,,,  34 707,  58 684,  5 555,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,   933,  384 266,  5 801,,,,,,,,,,,,,,,,,0,,,  113 409,,,,,,  4 753,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   522,,,   360,,   233,0,   106,,   608,,,,,  3 951,,,,,,,,,,,,,,,,,,,,   1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,   15,,,,,   11,,,   61,,,,,,,,,,   324,,,,   449,  1 282,  2 802,,,,,,   508,   488,,,,   30,,,,   59,,   286,,   77,,,,,,,,,,,,,   269,,,   856,,,,,,,,,   257,,,,,,,,,,,,,0,,,,   39,,,  3 129,   282,,,,,,,,   292,,,   31,   18,   42,   54,  1 577,,   106,   840,   10,,,  1 525,,,   502,   105,   499,,   18,  1 450,  1 321,  3 990,  37 827,,  27 103,,0,  2 392,  2 586,,  26 557,   11,,  11 027,,   19,   128,,,  2 271,  51 265,  433 748,  142 457,   191,  1 911,,  17 357,  54 716,,   5,,   32,,   15,,   9,  10 703,,,  7 354,,,  1 297,,,,  4 542,,,,,,,,,  1 829,   855,   944,   371,  24 620,   557,  2 506,  229 535,  1 644,  59 188,  9 710,  5 631,  2 013,,,,  1 114,  3 631,,  34 478,  109 078,   94,  10 713,,,  76 415,  15 097,,,   94,,,,,,,,,,,,,   72,,,,,,
